iter	Logloss
212	0.1522900217
213	0.1522341292
214	0.1522058826
215	0.1521752718
216	0.1521575604
217	0.1521438003
218	0.1521167738
219	0.1520920536
220	0.1520776233
221	0.1520432473
222	0.1520273488
223	0.1520061901
224	0.1519774074
225	0.1519599471
226	0.1519501606
227	0.1519267401
228	0.1519032931
229	0.1518843611
230	0.151847861
231	0.1518254875
232	0.1517916021
233	0.1517807037
234	0.15176235
235	0.151733843
236	0.1517138057
237	0.1516993647
238	0.1516870235
239	0.1516519498
240	0.1516403176
241	0.1516399198
242	0.1516152756
243	0.1515491787
244	0.1515269563
245	0.1514823876
246	0.1514635547
247	0.1514455818
248	0.1514005558
249	0.151393976
250	0.1513337388
251	0.1513054017
252	0.1512857472
253	0.1512366911
254	0.1512170075
255	0.1511895836
256	0.1511671784
257	0.1511526818
258	0.1511061789
259	0.1510838381
260	0.1510714246
261	0.1510714226
262	0.1510532259
263	0.1510381782
264	0.1510236352
265	0.1510125383
266	0.1509905789
267	0.1509695103
268	0.1509502513
269	0.1509502046
270	0.1509290633
271	0.1509164739
272	0.1509013927
273	0.1508771602
274	0.1508646568
275	0.1508431617
276	0.1508271744
277	0.1508015396
278	0.1507572819
279	0.1507427179
280	0.1507422597
281	0.1507176937
282	0.150684788
283	0.1506649932
284	0.1506445597
285	0.1506445283
286	0.1506084636
287	0.1505929264
288	0.150581549
289	0.1505570134
290	0.1505332519
291	0.150523297
292	0.150523287
293	0.1505229469
294	0.1505040706
295	0.1505009023
296	0.150483393
297	0.150459621
298	0.1504586166
299	0.150454364
300	0.1504450909
301	0.1504262987
302	0.150414723
303	0.1504144252
304	0.150404309
305	0.1503829032
306	0.1503763248
307	0.1503705028
308	0.1503568315
309	0.1503565476
310	0.150349999
311	0.1503465106
312	0.1503462548
313	0.1503457126
314	0.1503436959
315	0.1503233377
316	0.1502837191
317	0.1502607412
318	0.1502505131
319	0.1502500976
320	0.1502483165
321	0.1502345076
322	0.1502312587
323	0.1502217632
324	0.150207467
325	0.1501924278
326	0.150189485
327	0.1501749817
328	0.1501580373
329	0.150156806
330	0.1501459527
331	0.150129581
332	0.1501279573
333	0.1501244141
334	0.1500988223
335	0.1500942426
336	0.1500916078
337	0.1500882307
338	0.1500692906
339	0.1500588912
340	0.1500479923
341	0.1500347439
342	0.150028327
343	0.1500160204
344	0.1500131068
345	0.1499912827
346	0.1499735539
347	0.1499545242
348	0.1499526014
349	0.1499314885
350	0.1499014945
351	0.1498879731
352	0.149886562
353	0.1498775118
354	0.1498610131
355	0.1498581655
356	0.1498471901
357	0.1498268613
358	0.14980823
359	0.1497944425
360	0.1497777414
361	0.1497627863
362	0.1497364878
363	0.1497255678
364	0.1497238768
365	0.1497089233
366	0.1497080134
367	0.1497044411
368	0.1496970581
369	0.1496849184
370	0.1496664258
371	0.149663216
372	0.1496449425
373	0.1496406299
374	0.1496259736
375	0.1496099096
376	0.1495805077
377	0.149566167
378	0.1495643265
379	0.1495462389
380	0.1495373633
381	0.149524128
382	0.1495160207
383	0.1495036562
384	0.1494878134
385	0.149478786
386	0.1494673871
387	0.1494563818
388	0.1494391001
389	0.1494296029
390	0.1494204954
391	0.1494098414
392	0.1493944678
393	0.149386165
394	0.1493718966
395	0.1493600687
396	0.1493389865
397	0.1493207654
398	0.1493201578
399	0.1493175873
400	0.1493085911
401	0.1492878349
402	0.1492728075
403	0.1492629371
404	0.1492558372
405	0.1492394037
406	0.1492245939
407	0.1492092431
408	0.1492003275
409	0.1491978431
410	0.1491850886
411	0.1491568967
412	0.149150223
413	0.149136991
414	0.1491302979
415	0.1491196515
416	0.1491076393
417	0.1490878986
418	0.14908216
419	0.1490742131
420	0.1490602797
421	0.1490575187
422	0.1490562987
423	0.1490423676
424	0.1490276056
425	0.1490205541
426	0.1490112358
427	0.1490016551
428	0.1489889989
429	0.1489783096
430	0.1489645737
431	0.1489620573
432	0.1489606789
433	0.148949327
434	0.1489412733
435	0.1489239954
436	0.1489094784
437	0.1489059543
438	0.1488981833
439	0.1488867057
440	0.1488856463
441	0.1488736295
442	0.148858628
443	0.1488530512
444	0.148839303
445	0.1488329495
446	0.1488200826
447	0.1488112531
448	0.1488013477
449	0.148788411
450	0.1487740643
451	0.1487574041
452	0.1487559251
453	0.1487500907
454	0.1487245977
455	0.1487154882
456	0.1487044733
457	0.1486906346
458	0.1486829017
459	0.1486798335
460	0.1486787476
461	0.1486708208
462	0.1486588387
463	0.1486515715
464	0.1486370493
465	0.1486227964
466	0.1486122867
467	0.1486018384
468	0.1485907689
469	0.1485834419
470	0.14856861
471	0.1485526759
472	0.1485499284
473	0.148537957
474	0.1485314417
475	0.1485257671
476	0.1485106081
477	0.148491911
478	0.148480366
479	0.1484711957
480	0.1484623105
481	0.1484396865
482	0.1484323264
483	0.1484205292
484	0.148419177
485	0.1484139154
486	0.148403336
487	0.1483995269
488	0.1483971971
489	0.1483853934
490	0.1483788391
491	0.1483725363
492	0.1483669106
493	0.1483566475
494	0.1483471598
495	0.1483462455
496	0.1483417174
497	0.1483366717
498	0.1483224649
499	0.1483216098
