iter	Logloss
0	0.6136491027
1	0.5482553175
2	0.4979006981
3	0.4523913285
4	0.4140131246
5	0.3853916613
6	0.3603251563
7	0.3365693464
8	0.3174840167
9	0.301693588
10	0.2869008987
11	0.2777906962
12	0.2680351085
13	0.2596321389
14	0.2515680538
15	0.2451741131
16	0.2389295542
17	0.2331209054
18	0.2304714754
19	0.2274337786
20	0.223369988
21	0.2209805235
22	0.2173892668
23	0.21453026
24	0.2123243875
25	0.2092278904
26	0.2072871597
27	0.2053585795
28	0.2027895919
29	0.2005303423
30	0.1987176633
31	0.1968613986
32	0.1953974565
33	0.1945116228
34	0.1929096184
35	0.191631727
36	0.1902641162
37	0.1894668758
38	0.1883365404
39	0.1869846809
40	0.1859950718
41	0.1849104998
42	0.1834813552
43	0.1827120169
44	0.1814781333
45	0.1805540093
46	0.1798039105
47	0.1791206787
48	0.1783479305
49	0.1775401604
50	0.1769098069
51	0.1762008437
52	0.1755107249
53	0.1750674161
54	0.1744604045
55	0.1739666715
56	0.173431066
57	0.1727421057
58	0.1722977493
59	0.1717927814
60	0.1711128503
61	0.1706315606
62	0.1702293
63	0.1698528396
64	0.1693903666
65	0.1689434313
66	0.1686695994
67	0.1683446937
68	0.1680589139
69	0.1677966222
70	0.1673035633
71	0.1669978571
72	0.1666271069
73	0.1664122917
74	0.1660445903
75	0.1657714088
76	0.1653792499
77	0.164939379
78	0.1646072465
79	0.1643781522
80	0.1641474084
81	0.1639072185
82	0.1635628237
83	0.1633495264
84	0.1630823369
85	0.1628536938
86	0.1625713969
87	0.162395137
88	0.1622247858
89	0.1620379285
90	0.1618175291
91	0.1616576614
92	0.1613759753
93	0.1612349133
94	0.1610567092
95	0.1608652902
96	0.1607113405
97	0.1605411703
98	0.1603461363
99	0.160117706
100	0.159962935
101	0.1598512235
102	0.1596753804
103	0.1595558932
104	0.1594600487
105	0.159340051
106	0.1592387823
107	0.1590724146
108	0.1588404667
109	0.1587229421
110	0.1586073262
111	0.1584352376
112	0.1583486571
113	0.158258796
114	0.1580996622
115	0.1580240582
116	0.1578595347
117	0.1577055085
118	0.1575857269
119	0.1574937039
120	0.1574047231
121	0.1572586448
122	0.1571544207
123	0.1570305394
124	0.1569528835
125	0.1568601799
126	0.156785913
127	0.1566832691
128	0.1566002991
129	0.1565253654
130	0.1564666459
131	0.1564066343
132	0.1563252386
133	0.1562529548
134	0.1562001008
135	0.1561201436
136	0.1560632256
137	0.1560249696
138	0.1559411449
139	0.1558689728
140	0.1557144061
141	0.1556609934
142	0.1555717652
143	0.1554966996
144	0.1554550506
145	0.1553237612
146	0.1552813721
147	0.1551762263
148	0.1550325624
149	0.1549554873
150	0.1549015562
151	0.1548115368
152	0.1547432282
153	0.1546972681
154	0.1546482868
155	0.1545788464
156	0.1545308279
157	0.1544733575
158	0.1544050504
159	0.1543728609
160	0.1543360689
161	0.1542888321
162	0.1542132642
163	0.1541694207
164	0.1541154852
165	0.1540673547
166	0.1540205191
167	0.153982689
168	0.1539472815
169	0.1538658363
170	0.1538305075
171	0.1537987529
172	0.1537375546
173	0.1537015915
174	0.1536649919
175	0.1536268782
176	0.1535863643
177	0.1535473292
178	0.1535143674
179	0.1534867278
180	0.1534451785
181	0.1534039973
182	0.1533588428
183	0.1533391081
184	0.1533096953
185	0.1532853949
186	0.1532327062
187	0.1531996393
188	0.1531282866
189	0.1531021332
190	0.1530407899
191	0.1529737176
192	0.1529527683
193	0.1529227575
194	0.1528835415
195	0.1528531207
196	0.1528082394
197	0.1527770971
198	0.1527363037
199	0.1526731712
200	0.1526033525
201	0.1525718736
202	0.152510517
203	0.1524761814
204	0.1524500438
205	0.1524293561
206	0.1524065947
207	0.1523834103
208	0.1523617823
209	0.1523373783
210	0.1523171363
211	0.1522984632
