iter	Passed	Remaining
134	5751	15550
135	5810	15550
136	5848	15497
137	5885	15439
138	5922	15381
139	5973	15359
140	6010	15304
141	6046	15245
142	6100	15229
143	6137	15174
144	6175	15119
145	6213	15065
146	6254	15018
147	6295	14973
148	6336	14927
149	6375	14875
150	6423	14845
151	6471	14816
152	6518	14782
153	6554	14725
154	6597	14684
155	6632	14625
156	6673	14579
157	6712	14528
158	6752	14480
159	6824	14503
160	6862	14450
161	6900	14397
162	6932	14333
163	6972	14284
164	7021	14256
165	7066	14218
166	7104	14167
167	7145	14120
168	7184	14071
169	7257	14089
170	7295	14037
171	7333	13985
172	7372	13934
173	7408	13879
174	7465	13865
175	7505	13817
176	7572	13818
177	7612	13770
178	7653	13724
179	7698	13685
180	7738	13638
181	7794	13619
182	7834	13570
183	7880	13533
184	7930	13503
185	7989	13487
186	8040	13457
187	8087	13421
188	8136	13388
189	8180	13346
190	8227	13310
191	8273	13272
192	8319	13233
193	8367	13198
194	8413	13160
195	8458	13119
196	8509	13087
197	8548	13038
198	8586	12987
199	8625	12938
200	8691	12928
201	8740	12894
202	8787	12856
203	8833	12817
204	8882	12781
205	8917	12727
206	8961	12684
207	9005	12642
208	9044	12593
209	9081	12541
210	9126	12500
211	9173	12461
212	9222	12426
213	9259	12374
214	9295	12322
215	9332	12270
216	9378	12230
217	9417	12182
218	9455	12132
219	9502	12093
220	9547	12053
221	9596	12016
222	9630	11963
223	9671	11916
224	9706	11863
225	9750	11822
226	9796	11782
227	9841	11741
228	9878	11690
229	9919	11644
230	9965	11604
231	10012	11565
232	10050	11517
233	10109	11491
234	10150	11445
235	10187	11396
236	10230	11352
237	10279	11315
238	10321	11271
239	10367	11231
240	10407	11184
241	10453	11144
242	10492	11097
243	10536	11054
244	10588	11020
245	10632	10977
246	10669	10928
247	10704	10877
248	10755	10841
249	10794	10794
250	10843	10757
251	10881	10708
252	10921	10662
253	10960	10615
254	10999	10568
255	11038	10520
256	11082	10478
257	11121	10432
258	11173	10397
259	11212	10350
260	11269	10319
261	11303	10268
262	11348	10226
263	11382	10175
264	11422	10129
265	11461	10082
266	11502	10037
267	11551	9999
268	11598	9959
269	11635	9911
270	11672	9863
271	11721	9825
272	11773	9789
273	11812	9743
274	11848	9694
275	11897	9656
276	11934	9607
277	11974	9562
278	12011	9514
279	12048	9466
280	12093	9425
281	12149	9392
282	12187	9345
283	12239	9308
284	12275	9260
285	12303	9206
286	12349	9165
287	12387	9118
288	12443	9085
289	12484	9040
290	12530	8999
291	12570	8953
292	12596	8899
293	12637	8855
294	12685	8815
295	12730	8773
296	12766	8726
297	12807	8681
298	12856	8642
299	12894	8596
300	12933	8550
301	12979	8509
302	13029	8471
303	13061	8421
304	13101	8376
305	13135	8327
306	13180	8286
307	13222	8242
308	13259	8195
309	13293	8147
310	13327	8099
311	13369	8055
312	13403	8007
313	13442	7963
314	13477	7915
315	13526	7876
316	13571	7834
317	13643	7808
318	13684	7764
319	13723	7719
320	13766	7676
321	13807	7632
322	13847	7588
323	13883	7541
324	13928	7500
325	13975	7459
326	14009	7411
327	14052	7369
328	14105	7331
329	14148	7288
330	14186	7243
331	14226	7199
332	14283	7163
333	14322	7118
334	14363	7074
335	14397	7027
336	14431	6980
337	14470	6935
338	14507	6890
339	14543	6844
340	14583	6799
341	14624	6756
342	14676	6718
343	14710	6671
344	14748	6626
345	14801	6588
346	14837	6542
347	14876	6497
348	14921	6455
349	14977	6418
350	15018	6375
351	15055	6330
352	15115	6294
353	15156	6250
354	15191	6205
355	15226	6159
356	15302	6129
357	15340	6084
358	15378	6040
359	15425	5998
360	15464	5954
361	15518	5915
362	15556	5871
363	15611	5832
364	15659	5791
365	15702	5748
366	15742	5705
367	15775	5658
368	15809	5612
369	15855	5570
370	15892	5526
371	15931	5481
372	15987	5443
373	16027	5399
374	16079	5359
375	16126	5318
376	16176	5277
377	16215	5233
378	16270	5194
379	16315	5152
380	16364	5111
381	16396	5064
382	16443	5023
383	16487	4980
384	16525	4936
385	16563	4891
386	16609	4849
387	16660	4809
388	16705	4766
389	16754	4725
390	16792	4681
391	16831	4637
392	16879	4595
393	16919	4552
394	16976	4512
395	17016	4469
396	17066	4427
397	17107	4384
398	17159	4343
399	17200	4300
400	17273	4264
401	17320	4222
402	17359	4178
403	17410	4137
404	17451	4093
405	17501	4052
406	17548	4009
407	17598	3968
408	17637	3924
409	17675	3879
410	17715	3836
411	17790	3799
412	17834	3756
413	17878	3713
414	17919	3670
415	17958	3626
416	17995	3581
417	18050	3541
418	18096	3498
419	18137	3454
420	18176	3410
421	18221	3367
422	18268	3325
423	18314	3282
424	18361	3240
425	18407	3197
426	18449	3154
427	18501	3112
428	18553	3070
429	18597	3027
430	18642	2984
431	18694	2942
432	18733	2898
433	18784	2856
434	18832	2814
435	18874	2770
436	18913	2726
437	18956	2683
438	19003	2640
439	19044	2596
440	19091	2554
441	19141	2511
442	19190	2469
443	19232	2425
444	19294	2384
445	19334	2340
446	19378	2297
447	19416	2253
448	19493	2214
449	19533	2170
450	19578	2127
451	19616	2083
452	19671	2040
453	19712	1997
454	19767	1955
455	19810	1911
456	19849	1867
457	19889	1823
458	19931	1780
459	19973	1736
460	20012	1692
461	20050	1649
462	20101	1606
463	20139	1562
464	20192	1519
465	20295	1480
466	20351	1438
467	20397	1394
468	20445	1351
469	20481	1307
470	20533	1264
471	20573	1220
472	20630	1177
473	20672	1133
474	20708	1089
475	20751	1046
476	20792	1002
477	20844	959
478	20889	915
479	20938	872
480	20986	828
481	21024	785
482	21079	741
483	21120	698
484	21162	654
485	21213	611
486	21258	567
487	21303	523
488	21342	480
489	21386	436
490	21427	392
491	21472	349
492	21512	305
493	21553	261
494	21597	218
495	21642	174
496	21692	130
497	21740	87
498	21781	43
499	21824	0
